63 -1||| 62 -1||| 61 -1||| 60 -1||| 59 -1||| 58 -1||| 
34 32 -1||| 34 63 -1||| 62 63 -1||| 62 61 1||| 40 28 -1||| 62 59 1||| 

34 32 -1||| 34 32 -1||| 62 63 -1||| 62 61 1||| 40 28 -1||| 62 59 1||| 

34 33 -1||| 34 32 -1||| 62 63 -1||| 62 61 1||| 40 28 -1||| 62 59 1||| 

34 33 -1||| 34 32 -1||| 62 63 -1||| 62 61 1||| 40 28 -1||| 62 60 1||| 

33 -1||| 32 -1||| 63 -1||| 62 1||| 28 -1||| 60 1||| 

34 33 -1||| 34 32 -1||| 40 63 -1||| 62 62 1||| 40 29 -1||| 62 60 1||| 

34 34 -1||| 34 32 -1||| 40 63 -1||| 62 62 1||| 40 29 -1||| 62 60 1||| 

34 34 -1||| 34 32 -1||| 40 63 -1||| 62 62 1||| 40 29 -1||| 62 61 1||| 

34 34 -1||| 34 32 -1||| 40 63 -1||| 62 63 -1||| 40 29 -1||| 62 61 1||| 

34 -1||| 33 -1||| 63 -1||| 63 -1||| 29 -1||| 61 1||| 

34 34 -1||| 34 33 -1||| 40 63 -1||| 62 63 -1||| 40 30 -1||| 62 61 1||| 

34 34 -1||| 34 33 -1||| 40 32 -1||| 38 63 -1||| 40 30 -1||| 62 61 1||| 

34 -1||| 34 -1||| 32 -1||| 63 -1||| 30 -1||| 61 1||| 

34 34 -1||| 34 34 -1||| 40 32 -1||| 38 32 -1||| 40 30 -1||| 62 61 1||| 

62 35 1||| 34 34 -1||| 40 32 -1||| 38 32 -1||| 40 30 -1||| 62 61 1||| 

35 1||| 34 -1||| 33 -1||| 32 -1||| 30 -1||| 61 1||| 

62 35 1||| 34 34 -1||| 40 33 -1||| 38 32 -1||| 40 31 -1||| 62 61 1||| 

62 35 1||| 34 34 -1||| 40 33 -1||| 38 32 -1||| 40 31 -1||| 62 62 1||| 

36 1||| 34 -1||| 33 -1||| 32 -1||| 31 -1||| 62 1||| 

