TIME  COMMAND  CELL  BOXTYPE  CHANNEL BOTID
------------------------------------------
   0 startPalletize #1
 176 startMotion   B2       -1   63    3
 177 startMotion   A2        6  120    6
 177 movebox2bot             7  121    1
 177 endMotion     B4        7  121    1
 177 endMotion     C2       -1   60    5
 178 startMotion   B4        7  121    1
 178 startMotion   C2       -1   60    5
 180 endMotion     B2       -1   84    4
 180 endMotion     B3       -1   63    3
 181 startMotion   B3       -1   63    3
 181 startMotion   B2       -1   84    4
 182 endMotion     C1       -1   60    5
 182 endMotion     B5        7  121    1
 182 movebox2bot             8  122    2
 182 endMotion     B4        8  122    2
 183 movebox2tr             -1  del    6
 183 endMotion     A1       -1   -1    6
 183 startMotion   B5        7  121    1
 183 startMotion   B4        8  122    2
 183 startMotion   C1       -1   60    5
 184 startMotion   A1       -1  120    6
 185 endMotion     B3       -1   84    4
 185 endMotion     B4       -1   63    3
 185 endMotion     B1       -1  120    6
 186 startMotion   B3       -1   84    4
 186 startMotion   B1       -1  120    6
 186 startMotion   B4       -1   63    3
 187 endMotion     B5        8  122    2
 187 endMotion     B6        7  121    1
 188 endMotion     B1       -1   60    5
 188 startMotion   B5        8  122    2
 188 startMotion   B6        7  121    1
 189 startMotion   B1       -1   60    5
 190 endMotion     B5       -1   63    3
 190 endMotion     B4       -1   84    4
 190 endMotion     B2       -1  120    6
 191 startMotion   B2       -1  120    6
 191 startMotion   B4       -1   84    4
 191 startMotion   B5       -1   63    3
 192 endMotion     B7        7  121    1
 192 endMotion     B6        8  122    2
 193 endMotion     B2       -1   60    5
 193 startMotion   B7        7  121    1
 193 startMotion   B6        8  122    2
 194 startMotion   B2       -1   60    5
 195 endMotion     B6       -1   63    3
 195 endMotion     B5       -1   84    4
 195 endMotion     B3       -1  120    6
 196 startMotion   B5       -1   84    4
 196 startMotion   B3       -1  120    6
 196 startMotion   B6       -1   63    3
 197 endMotion     B8        7  121    1
 197 endMotion     B7        8  122    2
 198 startMotion   B8        7  121    1
 198 startMotion   B7        8  122    2
 198 endMotion     B3       -1   60    5
 199 startMotion   B3       -1   60    5
 200 endMotion     B6       -1   84    4
 200 endMotion     B7       -1   63    3
 201 startMotion   B6       -1   84    4
 201 startMotion   B7       -1   63    3
 202 endMotion     B9        7  121    1
 202 endMotion     B8        8  122    2
 202 movebox2bot            11  120    6
 202 endMotion     B4       11  120    6
 203 startMotion   B4       11  120    6
 203 startMotion   B8        8  122    2
 203 startMotion   B9        7  121    1
 203 endMotion     B4       -1   60    5
