 RecId   Time             Action              PalletID PalletTypeID
   365  26538  finishDepalletize                   168           17
   366  26539   StartDepalletize                   169           10 CNT4
   367  26731  finishDepalletize                   169           10
   368  26732   StartDepalletize                   170            8 CNT4
   369  26907  finishDepalletize                   170            8
   370  26908   StartDepalletize                   171           12 CNT4
   371  27008  finishDepalletize                   171           12
   372  27009   StartDepalletize                   172           14 CNT4
   373  27157  finishDepalletize                   172           14
   374  27158   StartDepalletize                   173           18 CNT5
   375  27368  finishDepalletize                   173           18
   376  27369   StartDepalletize                   174           19 CNT4
   377  27471  finishDepalletize                   174           19
   378  27472   StartDepalletize                   175           27 CNT4
   379  27631  finishDepalletize                   175           27
   380  27632   StartDepalletize                   176           31 CNT4
   381  27747  finishDepalletize                   176           31
   382  27748   StartDepalletize                   177           36 CNT4
   383  27963  finishDepalletize                   177           36
   384  27964   StartDepalletize                   178           41 CNT4
   385  28124  finishDepalletize                   178           41
   386  28125   StartDepalletize                   179           47 CNT7
   387  28181    finishPalletize  1111141001011149550
           #1
   388  28181     startPalletize   1111141001011149557
           #1
   389  28272  finishDepalletize                   179           47
   390  28273   StartDepalletize                   180           48 CNT7
   391  28435  finishDepalletize                   180           48
   392  28436   StartDepalletize                   181           49 CNT7
   393  28596  finishDepalletize                   181           49
   394  28597   StartDepalletize                   182           50 CNT4
   395  28689  finishDepalletize                   182           50
   396  28883   StartDepalletize                   183           21 CNT4
   397  29114  finishDepalletize                   183           21
   398  29115   StartDepalletize                   184           23 CNT5
   399  29252  finishDepalletize                   184           23
   400  29253   StartDepalletize                   185           24 CNT4
   401  29419  finishDepalletize                   185           24
   402  29420   StartDepalletize                   186           25 CNT4
   403  29505  finishDepalletize                   186           25
   404  29506   StartDepalletize                   187           28 CNT4
   405  29584  finishDepalletize                   187           28
   406  29585   StartDepalletize                   188           30 CNT4
   407  29748  finishDepalletize                   188           30
   408  29749   StartDepalletize                   189           32 CNT4
   409  29868    finishPalletize  1111141001011149557
           #1
   410  29868     startPalletize   1111141001011149556
           #1
   411  29884  finishDepalletize                   189           32
   412  29885   StartDepalletize                   190           34 CNT5
   413  29991  finishDepalletize                   190           34
   414  29992   StartDepalletize                   191           35 CNT4
   415  30061  finishDepalletize                   191           35
   416  30062   StartDepalletize                   192           43 CNT4
   417  30170  finishDepalletize                   192           43
   418  30171   StartDepalletize                   193            2 CNT4
   419  30251  finishDepalletize                   193            2
   420  30252   StartDepalletize                   194            9 CNT4
   421  30448  finishDepalletize                   194            9
   422  30449   StartDepalletize                   195            6 CNT4
   423  30591  finishDepalletize                   195            6
   424  30592   StartDepalletize                   196           16 CNT4
   425  30752  finishDepalletize                   196           16
   426  30753   StartDepalletize                   197           17 CNT4
   427  30859  finishDepalletize                   197           17
   428  30860   StartDepalletize                   198           22 CNT4
   429  30942  finishDepalletize                   198           22
   430  30943   StartDepalletize                   199           33 CNT4
   431  31076  finishDepalletize                   199           33
   432  31077   StartDepalletize                   200           37 CNT4
   433  31146  finishDepalletize                   200           37
   434  31147   StartDepalletize                   201           38 CNT4
   435  31236  finishDepalletize                   201           38
   436  31237   StartDepalletize                   202           39 CNT4
   437  31364  finishDepalletize                   202           39
   438  31365   StartDepalletize                   203           40 CNT4
   439  31510  finishDepalletize                   203           40
   440  31511   StartDepalletize                   204           29 CNT4
   441  31561    finishPalletize   1111141001011149556
           #1
