   1      0   movebox   21   channel    40    channellen   1    |   -   |   -   |   -   |   -   | 21   1| 16   1| 11   1|  6   1|
   1      0   movebox   22   channel    41    channellen   2    |   -   |   -   |   -   |   -   | 22   2| 17   2| 12   2|  7   2|
   1      0   movebox   23   channel    42    channellen   3    |   -   |   -   |   -   |   -   | 23   3| 18   3| 13   3|  8   3|
   1      0   movebox   49   channel    43    channellen   4    |   -   |   -   |   -   |   -   | 49   4| 39   4| 24   4| 14   4|
   1      0   movebox   49   channel    44    channellen   5    |   -   |   -   |   -   |   -   | 49   4| 39   4| 24   4| 14   4|
   1      0   movebox   21   channel    45    channellen   1    |   -   |   -   |   -   |   -   | 21   1| 16   1| 11   1|  6   1|
   1      0   movebox   22   channel    46    channellen   2    |   -   |   -   |   -   |   -   | 22   2| 17   2| 12   2|  7   2|
   1      0   movebox   23   channel    47    channellen   3    |   -   |   -   |   -   |   -   | 23   3| 18   3| 13   3|  8   3|
   1      0   movebox   49   channel    48    channellen   4    |   -   |   -   |   -   |   -   | 49   4| 39   4| 24   4| 14   4|
   1      0   movebox   49   channel    49    channellen   5    |   -   |   -   |   -   |   -   | 49   4| 39   4| 24   4| 14   4|
   1      0   movebox   26   channel     0    channellen   1    |   -   |   -   |   -   | 26   1| 16   1| 11   1|  6   1|  1   1|
   1      0   movebox   27   channel     1    channellen   2    |   -   |   -   |   -   | 27   2| 17   2| 12   2|  7   2|  2   2|
   1      0   movebox   28   channel     2    channellen   3    |   -   |   -   |   -   | 28   3| 18   3| 13   3|  8   3|  3   3|
   1      0   movebox   28   channel     3    channellen   4    |   -   |   -   |   -   | 28   3| 39   4| 29   4| 14   4|  4   4|
   1      0   movebox   28   channel     4    channellen   5    |   -   |   -   |   -   | 28   3| 39   4| 29   4| 14   4|  4   4|
   1      0   movebox   26   channel     5    channellen   1    |   -   |   -   |   -   | 26   1| 16   1| 11   1|  6   1|  1   1|
   1      0   movebox   27   channel     6    channellen   2    |   -   |   -   |   -   | 27   2| 17   2| 12   2|  7   2|  2   2|
   1      0   movebox   28   channel     7    channellen   3    |   -   |   -   |   -   | 28   3| 18   3| 13   3|  8   3|  3   3|
   1      0   movebox   28   channel     8    channellen   4    |   -   |   -   |   -   | 28   3| 39   4| 29   4| 14   4|  4   4|
   1      0   movebox   28   channel     9    channellen   5    |   -   |   -   |   -   | 28   3| 39   4| 29   4| 14   4|  4   4|
   1      0   movebox   26   channel    10    channellen   1    |   -   |   -   |   -   | 26   1| 21   1| 11   1|  6   1|  1   1|
   1      0   movebox   27   channel    11    channellen   2    |   -   |   -   |   -   | 27   2| 22   2| 12   2|  7   2|  2   2|
   1      0   movebox   28   channel    12    channellen   3    |   -   |   -   |   -   | 28   3| 23   3| 13   3|  8   3|  3   3|
   1      0   movebox   28   channel    13    channellen   4    |   -   |   -   |   -   | 28   3| 44   4| 29   4| 19   4|  4   4|
   1      0   movebox   33   channel    14    channellen   5    |   -   |   -   |   -   | 33   3| 44   4| 29   4| 19   4|  4   4|
   1      0   movebox   26   channel    15    channellen   1    |   -   |   -   |   -   | 26   1| 21   1| 11   1|  6   1|  1   1|
   1      0   movebox   27   channel    16    channellen   2    |   -   |   -   |   -   | 27   2| 22   2| 12   2|  7   2|  2   2|
   1      0   movebox   33   channel    17    channellen   3    |   -   |   -   |   -   | 33   3| 23   3| 13   3|  8   3|  3   3|
   1      0   movebox   33   channel    18    channellen   4    |   -   |   -   |   -   | 33   3| 44   4| 29   4| 19   4|  4   4|
   1      0   movebox   33   channel    19    channellen   5    |   -   |   -   |   -   | 33   3| 44   4| 29   4| 19   4|  4   4|
   1      0   movebox   26   channel    20    channellen   1    |   -   |   -   |   -   | 26   1| 21   1| 16   1|  6   1|  1   1|
   1      0   movebox   27   channel    21    channellen   2    |   -   |   -   |   -   | 27   2| 22   2| 17   2|  7   2|  2   2|
   1      0   movebox   33   channel    22    channellen   3    |   -   |   -   |   -   | 33   3| 23   3| 18   3|  8   3|  3   3|
   1      0   movebox   33   channel    23    channellen   4    |   -   |   -   |   -   | 33   3| 44   4| 34   4| 19   4|  9   4|
   1      0   movebox   33   channel    24    channellen   5    |   -   |   -   |   -   | 33   3| 44   4| 34   4| 19   4|  9   4|
   1      0   movebox   26   channel    25    channellen   1    |   -   |   -   |   -   | 26   1| 21   1| 16   1|  6   1|  1   1|
   1      0   movebox   27   channel    26    channellen   2    |   -   |   -   |   -   | 27   2| 22   2| 17   2|  7   2|  2   2|
   1      0   movebox   33   channel    27    channellen   3    |   -   |   -   |   -   | 33   3| 23   3| 18   3|  8   3|  3   3|
   1      0   movebox   38   channel    28    channellen   4    |   -   |   -   |   -   | 38   3| 44   4| 34   4| 19   4|  9   4|
   1      0   movebox   38   channel    29    channellen   5    |   -   |   -   |   -   | 38   3| 44   4| 34   4| 19   4|  9   4|
   1      0   movebox   26   channel    30    channellen   1    |   -   |   -   |   -   | 26   1| 21   1| 16   1| 11   1|  1   1|
   1      0   movebox   27   channel    31    channellen   2    |   -   |   -   |   -   | 27   2| 22   2| 17   2| 12   2|  2   2|
   1      0   movebox   38   channel    32    channellen   3    |   -   |   -   |   -   | 38   3| 23   3| 18   3| 13   3|  3   3|
   1      0   movebox   38   channel    33    channellen   4    |   -   |   -   |   -   | 38   3| 49   4| 34   4| 24   4|  9   4|
   1      0   movebox   38   channel    34    channellen   5    |   -   |   -   |   -   | 38   3| 49   4| 34   4| 24   4|  9   4|
   1      0   movebox   26   channel    35    channellen   1    |   -   |   -   |   -   | 26   1| 21   1| 16   1| 11   1|  1   1|
   1      0   movebox   27   channel    36    channellen   2    |   -   |   -   |   -   | 27   2| 22   2| 17   2| 12   2|  2   2|
